pid,isbn,large,small
11100820274,9789863361794,True,True
11100820275,9789861794686,True,True
11100820276,9789861794952,True,True
11100820277,9789861784229,True,True
11100820278,9789861784236,True,True
11100820279,9789869476959,True,True
11100820280,9789869476928,True,True
11100820281,11100820281,True,True
11100820282,9789578008946,True,True
11100820283,9789863453253,True,True
11100820284,9789863453215,True,True
11100820285,9789863185864,True,True
11100820286,9789863185970,True,True
11100820287,9789863185918,True,True
11100820288,11100820288,True,True
11100820289,11100820289,True,True
11100820290,11100820290,True,True
11100820291,11100820291,True,True
11100820292,11100820292,True,True
11100820293,11100820293,True,True
11100820294,11100820294,True,True
11100820295,11100820295,True,True
11100820296,11100820296,True,True
11100820297,9789860521108,True,True
11100820298,9789860523201,True,True
11100820299,9789860523218,True,True
11100820300,9789860523225,True,True
11100820301,9789860523232,True,True
11100820302,9789860523249,True,True
11100820303,9789860524284,True,True
11100820304,9789860527506,True,True
11100820305,9789576867439,True,True
11100820306,11100820306,True,True
11100820307,9789860528237,True,True
11100820308,9789887781851,True,True
11100820309,9789887781875,True,True
11100820310,9789887781844,True,True
11100820311,9576711347,True,True
11100820312,11100820312,True,True
11100820313,9789865668853,True,True
11100820314,11100820314,True,True
11100820315,9789866637995,True,True
11100820316,9789863023777,True,True
11100820317,9789864870745,True,True
11100820318,9789863749349,True,True
11100820319,9789864870493,True,True
11100820320,9789860527377,True,True
11100820321,9789863570950,True,True
11100820322,9575393767,True,True
11100820323,9575393708,True,True
11100820324,9575393694,True,True
11100820325,9575393651,True,True
11100820326,1844675165,True,True
11100820327,9789864554874,True,True
11100820328,9789864553990,True,True
11100820329,11100820329,True,True
11100820330,9789864554089,True,True
11100820331,9789869340656,True,True
11100820332,9789864554096,True,True
11100820333,9789869465366,True,True
11100820334,9789864554102,True,True
11100820335,9789863124337,True,True
11100820336,9789864554799,True,True
11100820337,9789864554164,True,True
11100820338,9789863124351,True,True
11100820339,9789864553952,True,True
11100820340,9789864554362,True,True
11100820341,9789864554218,True,True
11100820342,9789864554430,True,True
11100820343,9789864554355,True,True
11100820344,9789864554157,True,True
11100820345,9789864554300,True,True
11100820346,9789571192024,True,True
11100820347,9789571192093,True,True
11100820348,9789571191898,True,True
11100820349,9789571191911,True,True
11100820350,9789571191843,True,True
11100820351,9789571191997,True,True
11100820352,9789571191836,True,True
11100820353,9789571190297,True,True
11100820354,9789571075150,True,True
11100820355,9789571074665,True,True
11100820356,9789571075334,True,True
11100820357,9789571072562,True,True
11100820358,9789571073637,True,True
11100820359,9789571075433,True,True
11100820360,9789571075440,True,True
11100820361,9789571075570,True,True
11100820362,9789571075587,True,True
11100820363,9789571075686,True,True
11100820364,9789869449274,True,True
11100820365,9789869449281,True,True
11100820366,9789571075402,True,True
11100820367,9789571074511,True,True
11100820368,9789571075693,True,True
11100820369,9789571075167,True,True
11100820370,9789571075174,True,True
11100820371,9789571075181,True,True
11100820372,9789571076256,True,True
11100820373,9789571075921,True,True
11100820374,9789571076232,True,True
11100820375,9789571074559,True,True
11100820376,9789571075822,True,True
11100820377,9789571075662,True,True
11100820378,9789571075839,True,True
11100820379,9789869480642,True,True
11100820380,9789869480628,True,True
11100820381,9789864930630,True,True
11100820382,9789869487641,True,True
11100820383,9789862924730,True,True
11100820384,9789863287476,True,True
11100820385,9789863287483,True,True
11100820386,9789863287490,True,True
11100820387,11100820387,True,True
11100820388,9789869482455,True,True
11100820389,9789570849646,True,True
11100820390,9789864764518,True,True
11100820391,9789864702312,True,True
11100820392,9789864702015,True,True
11100820393,9789864829231,True,True
11100820394,9789864861521,True,True
11100820395,9789864863327,True,True
11100820396,9789864828197,True,True
11100820397,9789864824427,True,True
11100820398,9789864827411,True,True
11100820399,9789864862818,True,True
11100820400,9789864826421,True,True
11100820401,11100820401,True,True
11100820402,11100820402,True,True
11100820403,9789869461764,True,True
11100820404,9789866613906,True,True
11100820405,9789862969748,True,True
11100820406,9789862969755,True,True
11100820407,9789862969236,True,True
11100820408,9789862969762,True,True
11100820409,9789862969779,True,True
11100820410,9789862743218,True,True
11100820411,9789869501958,True,True
11100820412,9789862573594,True,True
11100820413,9789570849714,True,True
11100820414,9789869496049,True,True
11100820415,9789869499606,True,True
11100820416,9789869499637,True,True
11100820417,9789868973565,True,True
11100820418,9789869496032,True,True
11100820419,9789869499644,True,True
11100820420,9789868973558,True,True
11100820421,9789869496087,True,True
11100820422,9789869496117,True,True
11100820423,9789868973572,True,True
11100820424,9789869496094,True,True
11100820425,9789869496070,True,True
11100820426,9789869496131,True,True
11100820427,9789869496148,True,True
11100820428,9789579047135,True,True
11100820429,9789863570929,True,True
11100820430,9789573263586,True,True
11100820431,9789863124009,True,True
11100820432,9789888068715,True,True
11100820433,9789571168418,True,True
11100820434,9789869433778,True,True
11100820435,9789869433761,True,True
11100820436,11100820436,True,True
11100820437,11100820437,True,True
11100820438,11100820438,True,True
11100820439,11100820439,True,True
11100820440,11100820440,True,True
11100820441,11100820441,True,True
11100820442,11100820442,True,True
11100820443,11100820443,True,True
11100820444,11100820444,True,True
11100820445,11100820445,True,True
11100820446,11100820446,True,True
11100820447,9789860482928,True,True
11100820448,9789860498288,True,True
11100820449,9789860516159,True,True
11100820450,9789860516821,True,True
11100820451,9789860517835,True,True
11100820452,9789860522822,True,True
11100820453,9789860524000,True,True
11100820454,9789860527889,True,True
11100820455,9789863502449,True,True
11100820456,11100820456,True,True
11100820457,11100820457,True,True
11100820458,11100820458,True,True
11100820459,11100820459,True,True
11100820460,9789869284417,True,True
11100820461,9789574127863,True,True
11100820462,9789861915630,True,True
11100820463,9789576723940,True,True
11100820464,9789869467520,True,True
11100820465,9789869497336,True,True
11100820466,9789869416245,True,True
11100820467,9789869416269,True,True
11100820468,9789864540433,True,True
11100820469,9789869456951,True,True
11100820470,9789869469630,True,True
11100820471,9789869469654,True,True
11100820472,9789864792658,True,True
11100820473,9789864811502,True,True
11100820474,9789864811687,True,True
11100820475,9789864811694,True,True
11100820476,9789865994938,True,True
11100820477,9789865641900,True,True
11100820478,9789866608452,True,True
11100820479,9789869439299,True,True
11100820480,9789866608490,True,True
11100820481,9789869498234,True,True
11100820482,9789869507837,True,True
11100820483,11100820483,True,True
11100820484,11100820484,True,True
11100820485,9789869489164,True,True
11100820486,9789869493215,True,True
11100820487,9789577106988,True,True
11100820488,9789865859695,True,True
11100820489,9789869489133,True,True
11100820490,9789869489140,True,True
11100820491,9576350506,True,True
11100820492,9789865783716,True,True
11100820493,9789868802827,True,True
11100820494,11100820494,True,True
11100820495,9789866613883,True,True
11100820496,9789866613876,True,True
11100820497,9789864501342,True,True
11100820498,9789864501373,True,True
11100820499,9789864501380,True,True
11100820500,11100820500,True,True
11100820501,9789866385964,True,True
11100820502,9789864501397,True,True
